fine,Moran's I,P-value,num_cell,sample,region_abb,fullid
InN-Lamp5,-0.026757856806308943,0.16405043827760768,29,HZ12M06,ECT,HZ12M06_coorect_ECT
InN-Vip,-0.028943089480898063,0.5524669387741874,32,HZ12M06,ECT,HZ12M06_coorect_ECT
InN-Lamp5,0.012570646705212676,6.664667392789199e-07,34,HZ12M06,HPF,HZ12M06_coorect_HPF
InN-Olf,0.0030139816260735235,8.792613677189605e-09,116,HZ12M06,HPF,HZ12M06_coorect_HPF
InN-Sst,-0.0036704181473387956,0.010934886242529343,130,HZ12M06,HPF,HZ12M06_coorect_HPF
InN-Sncg,-0.003696592254077731,0.9280595647895721,267,HZ12M06,HPF,HZ12M06_coorect_HPF
InN-Erbb4,-0.007813140990572289,0.8804313828270004,125,HZ12M06,HPF,HZ12M06_coorect_HPF
InN-Pvalb,-0.009653684798767607,0.10020580105525623,69,HZ12M06,HPF,HZ12M06_coorect_HPF
InN-Calb2,-0.015141705301244288,0.1244193053303896,45,HZ12M06,HPF,HZ12M06_coorect_HPF
InN-Vip,-0.12250828323334971,0.10972901370520405,12,HZ12M06,HPF,HZ12M06_coorect_HPF
InN-Pvalb,-0.001954809106719965,0.40354304121052564,435,HZ12M06,RS,HZ12M06_coorect_RS
InN-Sncg,-0.0031472570502359895,0.030184710847517497,195,HZ12M06,RS,HZ12M06_coorect_RS
InN-Sst,-0.005323559625016208,0.27908297580616237,149,HZ12M06,RS,HZ12M06_coorect_RS
InN-Erbb4,-0.005743051567917568,0.7299544104002487,163,HZ12M06,RS,HZ12M06_coorect_RS
InN-Olf,-0.007400804700888178,0.016373888307776963,71,HZ12M06,RS,HZ12M06_coorect_RS
InN-Calb2,-0.01861273710704662,0.8881657073632583,56,HZ12M06,RS,HZ12M06_coorect_RS
InN-Vip,-0.024659594524882165,0.26434112947228516,33,HZ12M06,RS,HZ12M06_coorect_RS
InN-Lamp5,-0.025760258548602658,0.44784975399371807,46,HZ12M06,RS,HZ12M06_coorect_RS
InN-Olf,0.02570270228351244,0.0,400,HZ12M06,TH,HZ12M06_coorect_TH
InN-Erbb4,0.015426873541608275,0.0,1231,HZ12M06,TH,HZ12M06_coorect_TH
InN-Sncg,0.015182488134129108,0.0,1494,HZ12M06,TH,HZ12M06_coorect_TH
InN-Calb2,0.009145796061889807,0.0,984,HZ12M06,TH,HZ12M06_coorect_TH
InN-Pvalb,0.003721014734424563,1.191756239376697e-18,213,HZ12M06,TH,HZ12M06_coorect_TH
InN-Lamp5,0.0007293482333959266,4.702500403836701e-07,105,HZ12M06,TH,HZ12M06_coorect_TH
InN-Sst,-0.001788363776043588,0.001112894921257934,182,HZ12M06,TH,HZ12M06_coorect_TH
InN-Vip,-0.03264589430152614,0.3571060428065569,26,HZ12M06,TH,HZ12M06_coorect_TH
InN-Calb2,0.003041717492392482,0.0,4659,HZ2M01,BF,HZ2M01_coorect_BF
InN-Erbb4,0.0010014785536903487,5.394187203391745e-13,418,HZ2M01,BF,HZ2M01_coorect_BF
InN-Sst,-0.0016135195099455562,0.005332261417717523,301,HZ2M01,BF,HZ2M01_coorect_BF
InN-Sncg,-0.003371229980109257,0.008311079784104025,127,HZ2M01,BF,HZ2M01_coorect_BF
InN-Pvalb,-0.01584861804954277,0.8854895531034251,66,HZ2M01,BF,HZ2M01_coorect_BF
InN-Olf,-0.07021252943597033,0.47374498365258366,17,HZ2M01,BF,HZ2M01_coorect_BF
InN-Sst,0.004431977940445897,5.733502758273226e-51,410,HZ2M01,PFC,HZ2M01_coorect_PFC
InN-Pvalb,-0.0004913643069911564,1.8927333012901146e-05,357,HZ2M01,PFC,HZ2M01_coorect_PFC
InN-Sncg,-0.002703327526844539,0.001571379639818299,129,HZ2M01,PFC,HZ2M01_coorect_PFC
InN-Vip,-0.005844889430328897,0.01182668522441366,82,HZ2M01,PFC,HZ2M01_coorect_PFC
InN-Erbb4,-0.009527061899979128,0.9649439357489897,105,HZ2M01,PFC,HZ2M01_coorect_PFC
InN-Lamp5,-0.02160260942743963,0.609745157136784,43,HZ2M01,PFC,HZ2M01_coorect_PFC
InN-Olf,0.015160541884542234,0.0,2394,HZ2M01,STR,HZ2M01_coorect_STR
InN-Sst,0.011802829837507524,1.1367123355662194e-83,290,HZ2M01,STR,HZ2M01_coorect_STR
InN-Sncg,0.00851216805218032,2.8257295121900227e-18,108,HZ2M01,STR,HZ2M01_coorect_STR
InN-Pvalb,0.0057391205001518265,3.670027129284281e-18,146,HZ2M01,STR,HZ2M01_coorect_STR
InN-Erbb4,0.002489595450885743,1.5035307508901915e-12,155,HZ2M01,STR,HZ2M01_coorect_STR
InN-Calb2,0.0003280617167630258,5.317364866904809e-10,348,HZ2M01,STR,HZ2M01_coorect_STR
InN-Lamp5,-0.005100363821664871,0.0004136358880053183,63,HZ2M01,STR,HZ2M01_coorect_STR
InN-Vip,-0.09067398224207533,0.6653407998404322,11,HZ2M01,STR,HZ2M01_coorect_STR
InN-Calb2,0.015085817165012429,0.0,4023,HZ2M02,BF,HZ2M02_coorect_BF
InN-Olf,0.009632187603368206,6.949718056395962e-21,111,HZ2M02,BF,HZ2M02_coorect_BF
InN-Erbb4,0.00655274379725098,4.322751362806277e-19,93,HZ2M02,BF,HZ2M02_coorect_BF
InN-Pvalb,0.004925770196039606,5.2186998723384384e-62,365,HZ2M02,BF,HZ2M02_coorect_BF
InN-Sncg,0.0009706895158938876,5.435003124584381e-07,46,HZ2M02,BF,HZ2M02_coorect_BF
InN-Sst,-0.01568117510148585,0.6857085075785075,59,HZ2M02,BF,HZ2M02_coorect_BF
InN-Lamp5,-0.020201195106102143,0.03216902107955625,28,HZ2M02,BF,HZ2M02_coorect_BF
InN-Sst,0.0011747873267147291,1.6591429445729612e-08,131,HZ2M02,ECT,HZ2M02_coorect_ECT
InN-Sncg,-0.004655813233225458,3.2144914490951514e-05,42,HZ2M02,ECT,HZ2M02_coorect_ECT
InN-Erbb4,-0.008427399813018847,0.16212762260969782,83,HZ2M02,ECT,HZ2M02_coorect_ECT
InN-Vip,-0.022124566687966682,0.046904756245399526,27,HZ2M02,ECT,HZ2M02_coorect_ECT
InN-Pvalb,-0.030603367391916648,0.3709403213933081,29,HZ2M02,ECT,HZ2M02_coorect_ECT
InN-Olf,-0.05802129434726039,0.9507828004310444,18,HZ2M02,ECT,HZ2M02_coorect_ECT
InN-Lamp5,-0.06388767341379663,0.8823107318557348,17,HZ2M02,ECT,HZ2M02_coorect_ECT
InN-Sncg,-0.0047191135374517025,0.4907361177815872,183,HZ2M02,HPF,HZ2M02_coorect_HPF
InN-Sst,-0.006238085886937964,0.5476297484806011,182,HZ2M02,HPF,HZ2M02_coorect_HPF
InN-Pvalb,-0.006704606300707293,0.15614912270602213,104,HZ2M02,HPF,HZ2M02_coorect_HPF
InN-Erbb4,-0.021636401488062205,0.1345649042465908,33,HZ2M02,HPF,HZ2M02_coorect_HPF
InN-Lamp5,-0.02342060583655861,0.4563598740188133,37,HZ2M02,HPF,HZ2M02_coorect_HPF
InN-Olf,-0.04001466670182812,0.10440804180516548,18,HZ2M02,HPF,HZ2M02_coorect_HPF
InN-Vip,-0.0781089892491226,0.42361741273252174,16,HZ2M02,HPF,HZ2M02_coorect_HPF
InN-Pvalb,0.0017439525147634053,2.0716565738677833e-57,1098,HZ2M02,RS,HZ2M02_coorect_RS
InN-Sst,-0.0030916414293108833,0.25022584549203697,245,HZ2M02,RS,HZ2M02_coorect_RS
InN-Sncg,-0.0054097081156517166,0.004479339063550463,80,HZ2M02,RS,HZ2M02_coorect_RS
InN-Vip,-0.016558787779912338,0.26954037995743674,46,HZ2M02,RS,HZ2M02_coorect_RS
InN-Lamp5,-0.036817611425214045,0.2260792027394627,35,HZ2M02,RS,HZ2M02_coorect_RS
InN-Erbb4,-0.04625673282860271,0.7048512962043219,21,HZ2M02,RS,HZ2M02_coorect_RS
InN-Sncg,0.02344176389969697,1.5003563425122548e-164,201,HZ2M02,TH,HZ2M02_coorect_TH
InN-Erbb4,0.01820703312766554,1.3573653779312e-310,373,HZ2M02,TH,HZ2M02_coorect_TH
InN-Calb2,0.008866794307558393,0.0,3013,HZ2M02,TH,HZ2M02_coorect_TH
InN-Olf,0.008250348276323006,3.3442466199339074e-44,232,HZ2M02,TH,HZ2M02_coorect_TH
InN-Sst,-0.0006019227928885854,1.1564147470933392e-05,199,HZ2M02,TH,HZ2M02_coorect_TH
InN-Pvalb,-0.009659424072147529,0.9353800495378459,103,HZ2M02,TH,HZ2M02_coorect_TH
InN-Lamp5,-0.026660021665101626,0.6488211571240582,34,HZ2M02,TH,HZ2M02_coorect_TH
InN-Calb2,0.002450664732141444,0.0,3349,HZ2M03,BF,HZ2M03_coorect_BF
InN-Erbb4,-0.003606829383563154,0.7478712822927733,259,HZ2M03,BF,HZ2M03_coorect_BF
InN-Sst,-0.007632222947281532,0.3540317881652497,109,HZ2M03,BF,HZ2M03_coorect_BF
InN-Olf,-0.012272368744817762,0.06438337416827228,41,HZ2M03,BF,HZ2M03_coorect_BF
InN-Sncg,-0.02269114231795366,0.6330023047683075,49,HZ2M03,BF,HZ2M03_coorect_BF
InN-Pvalb,-0.09631124942073718,0.9311902371792872,11,HZ2M03,BF,HZ2M03_coorect_BF
InN-Pvalb,0.00016103145096147604,1.0684922327622622e-08,335,HZ2M03,PFC,HZ2M03_coorect_PFC
InN-Sst,4.494147265589811e-05,4.7176654885335885e-08,365,HZ2M03,PFC,HZ2M03_coorect_PFC
InN-Sncg,-0.0036469323672348643,0.002088162629280346,121,HZ2M03,PFC,HZ2M03_coorect_PFC
InN-Erbb4,-0.013516230573796277,0.5431266865862725,83,HZ2M03,PFC,HZ2M03_coorect_PFC
InN-Lamp5,-0.01555620826244833,0.3019208376910838,52,HZ2M03,PFC,HZ2M03_coorect_PFC
InN-Vip,-0.015952378407776982,0.4616577636385677,75,HZ2M03,PFC,HZ2M03_coorect_PFC
InN-Sst,0.005924188648773741,5.829874656499851e-37,332,HZ2M03,STR,HZ2M03_coorect_STR
InN-Olf,0.005303813254009723,0.0,2173,HZ2M03,STR,HZ2M03_coorect_STR
InN-Pvalb,0.0004976155706643973,0.00022211319060495214,171,HZ2M03,STR,HZ2M03_coorect_STR
