,Moran's I,P-value,num_cell,sample_region,sample,region,month
Astro,0.10320972554033768,4.228083943288499e-37,7670.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M
OPC,0.08361774028083321,0.06717281844232065,1034.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M
ExN,0.08286675092364576,1.0229096816897228e-158,27933.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M
Endo,0.07709302785268282,0.028866189700020844,1327.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M
InN,0.069472098990083,3.035485220884474e-09,5353.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M
Olig,0.04905037164571469,0.0013665632254969496,2355.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M
Micro,0.02938711667918811,0.0010009439765732411,5012.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M
SMC,0.17855778242351947,2.3214263669984766e-20,2808.0,HZ12M05_Striatum,HZ12M05,Striatum,12M
Peri,0.11136429681139577,3.166798646561e-05,1724.0,HZ12M05_Striatum,HZ12M05,Striatum,12M
InN,0.09048871796394452,7.630056457582062e-17,5659.0,HZ12M05_Striatum,HZ12M05,Striatum,12M
ExN,0.05665981724789487,1.0700342521108258e-12,8274.0,HZ12M05_Striatum,HZ12M05,Striatum,12M
Astro,0.05368840019025785,3.68158499883801e-17,9988.0,HZ12M05_Striatum,HZ12M05,Striatum,12M
Olig,0.03619631934505962,1.3048148939184797e-05,5296.0,HZ12M05_Striatum,HZ12M05,Striatum,12M
MSN,0.029693811773742612,3.413628066495644e-05,8367.0,HZ12M05_Striatum,HZ12M05,Striatum,12M
OPC,0.023607911791856177,0.5698981440982158,1073.0,HZ12M05_Striatum,HZ12M05,Striatum,12M
Micro,0.014589659300170636,0.1867816250629758,3669.0,HZ12M05_Striatum,HZ12M05,Striatum,12M
Endo,0.006147467807199668,0.7978405728184903,2059.0,HZ12M05_Striatum,HZ12M05,Striatum,12M
Endo,0.7837098240043455,0.020284365964535516,22.0,HZ12M06_Entorhinal area,HZ12M06,Entorhinal area,12M
SMC,0.4076400919998293,0.00014801539380364265,85.0,HZ12M06_Entorhinal area,HZ12M06,Entorhinal area,12M
Astro,0.36885639065937614,2.163961233307471e-15,302.0,HZ12M06_Entorhinal area,HZ12M06,Entorhinal area,12M
MSN,0.12230315002349056,0.7161408205654627,28.0,HZ12M06_Entorhinal area,HZ12M06,Entorhinal area,12M
OPC,0.07224201722016252,0.643046784485638,35.0,HZ12M06_Entorhinal area,HZ12M06,Entorhinal area,12M
ExN,0.05226774334637764,0.031873846230079335,787.0,HZ12M06_Entorhinal area,HZ12M06,Entorhinal area,12M
Micro,0.047021193759036205,0.16943483570151463,288.0,HZ12M06_Entorhinal area,HZ12M06,Entorhinal area,12M
Olig,-0.017533770250840814,0.8807711521469431,21.0,HZ12M06_Entorhinal area,HZ12M06,Entorhinal area,12M
InN,-0.02648255111441633,0.7861243567793982,190.0,HZ12M06_Entorhinal area,HZ12M06,Entorhinal area,12M
Peri,-0.07156907985482606,0.8949466987633691,29.0,HZ12M06_Entorhinal area,HZ12M06,Entorhinal area,12M
Peri,0.6673088918103758,1.1949792047838844e-27,379.0,HZ12M06_Hippocampal formation,HZ12M06,Hippocampal formation,12M
SMC,0.37854293582694126,2.4506215625773857e-11,327.0,HZ12M06_Hippocampal formation,HZ12M06,Hippocampal formation,12M
Olig,0.12192395189688594,0.0002731633243972471,481.0,HZ12M06_Hippocampal formation,HZ12M06,Hippocampal formation,12M
