celltype,Moran's I,P-value,num_cell,id,month
ExN,0.0038096153202075243,2.0895404582236587e-208,1487,HZ8M01_BF,8
Olig,0.003385010189171938,9.266605039878303e-54,1296,HZ8M01_BF,8
Peri,0.0031469187118787767,8.591955656784983e-291,2156,HZ8M01_BF,8
SMC,0.002709122169874913,0.0,2476,HZ8M01_BF,8
Astro,0.0013836009883477496,2.3909460792870814e-15,732,HZ8M01_BF,8
Endo,-0.0003034237684481444,8.934783470664223e-06,236,HZ8M01_BF,8
OPC,-0.0008085038513281274,0.004960762109825317,344,HZ8M01_BF,8
SMC,0.015026567204519567,0.0,2853,HZ8M02_BF,8
Olig,0.002959909398081433,6.490797061469137e-158,2540,HZ8M02_BF,8
Micro,0.002853000808499708,1.2004075830345126e-41,1529,HZ8M02_BF,8
InN,0.0014203289843525892,0.0,8542,HZ8M02_BF,8
Astro,0.0004956285080566838,2.8104806283313684e-09,1305,HZ8M02_BF,8
ExN,3.3564841297019916e-05,3.8097737971023483e-07,1665,HZ8M02_BF,8
Peri,4.142503735264926e-06,2.7692429990245046e-06,2654,HZ8M02_BF,8
Micro,0.027600107334720087,0.0,659,HZ8M03_BF,8
InN,0.018931102892559403,0.0,5192,HZ8M03_BF,8
Astro,0.01792259637349538,0.0,962,HZ8M03_BF,8
Olig,0.017572248037840806,0.0,1568,HZ8M03_BF,8
ExN,0.012566514398806208,0.0,1729,HZ8M03_BF,8
Peri,0.010446744419856822,0.0,2437,HZ8M03_BF,8
SMC,0.008037205566187373,0.0,1346,HZ8M03_BF,8
OPC,0.007937862147389407,4.9113258716365057e-107,390,HZ8M03_BF,8
Endo,0.00734739275485901,8.674106178649941e-46,215,HZ8M03_BF,8
Micro,0.01005492319416523,1.2740792256154969e-228,1138,HZ8M04_BF,8
Olig,0.004330427528014834,1.9614883684441476e-247,2169,HZ8M04_BF,8
InN,0.0031987614329928304,0.0,6269,HZ8M04_BF,8
Peri,0.0024989263006412426,0.0,2648,HZ8M04_BF,8
SMC,0.0020113455959054147,1.3121174253109183e-231,2405,HZ8M04_BF,8
Astro,0.001901380786822319,1.558680399635735e-32,1080,HZ8M04_BF,8
OPC,0.0011607610554863928,1.255397343893586e-15,459,HZ8M04_BF,8
ExN,0.0010698470741465885,3.4326840138814154e-40,1711,HZ8M04_BF,8
Endo,-0.0008372852817016658,1.607043292178047e-05,257,HZ8M04_BF,8
InN,0.01253692894907126,0.0,5218,HZ8M05_BF,8
ExN,0.0041103307008962895,0.0,2644,HZ8M05_BF,8
SMC,0.003946570462200975,0.0,1904,HZ8M05_BF,8
Peri,0.0032461294435418685,6.974665642238317e-229,1695,HZ8M05_BF,8
Astro,0.0027044966058522506,3.238166570981997e-104,1402,HZ8M05_BF,8
Micro,0.002620737938591986,5.224688707236797e-28,919,HZ8M05_BF,8
OPC,0.001723302295210913,2.743094104405329e-20,507,HZ8M05_BF,8
Olig,0.001281523444747256,7.481065439010857e-14,1038,HZ8M05_BF,8
Endo,-8.049175841698213e-05,4.805199241721336e-06,193,HZ8M05_BF,8
Astro,0.016593323024071332,0.0,1521,HZ8M06_BF,8
Olig,0.011520439882042858,0.0,2086,HZ8M06_BF,8
OPC,0.009756372215725083,2.5196102318355104e-208,621,HZ8M06_BF,8
Peri,0.008033876631545159,0.0,3042,HZ8M06_BF,8
ExN,0.0077670925552173874,0.0,2131,HZ8M06_BF,8
InN,0.006791203625028778,0.0,8408,HZ8M06_BF,8
Micro,0.006271579526334063,3.8635239259887144e-121,1360,HZ8M06_BF,8
SMC,0.004127549554420846,0.0,2296,HZ8M06_BF,8
Endo,0.003238332748597763,9.176719260310272e-37,412,HZ8M06_BF,8
MSN,-0.005704700618432421,0.0004662933725569074,68,HZ8M06_BF,8
